Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,1. Category
"Country Heights Damansara, Kuala Lumpur","10,000,000",9,10,8,Bungalow (Corner),11700,Partly Furnished,High
"Kepong, Kuala Lumpur","748,000",3,2,2,1-sty Terrace/Link House,1430,Partly Furnished,Low
"Kepong, Kuala Lumpur","640,000",3,2,2,1-sty Terrace/Link House (Intermediate),1430,Unfurnished,Low
"Bandar Damai Perdana, Kuala Lumpur","656,000",4,3,2,2-sty Terrace/Link House (Intermediate),1496,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","2,100,000",4,4,3,2-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","3,200,000",5,6,5,3-sty Terrace/Link House (Corner),1991,Partly Furnished,Mid
"Kepong, Kuala Lumpur","688,000",3,2,2,1-sty Terrace/Link House (Intermediate),1540,Unfurnished,Low
"Kepong, Kuala Lumpur","680,000",3,2,2,1-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Low
"Cheras, Kuala Lumpur","1,000,000",4,4,2,2-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Low
"Kepong, Kuala Lumpur","920,000",4,3,4,2-sty Terrace/Link House (EndLot),1540,Partly Furnished,Low
"City Centre, Kuala Lumpur","860,000",4,3,2,2-sty Terrace/Link House (Intermediate),1540,Unfurnished,Low
"Kepong, Kuala Lumpur","750,000",3,2,2,1-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Low
"Ampang, Kuala Lumpur","1,680,000",4,4,2,Semi-detached House,3200,Unfurnished,Mid
"Bukit Jalil, Kuala Lumpur","1,180,000",6,4,2,3-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Mid
"Keramat, Kuala Lumpur","1,500,000",10,9,6,Bungalow,4700,Unfurnished,Mid
"Taman Melawati, Kuala Lumpur","1,750,000",6,6,3,3.5-sty Terrace/Link House (Intermediate),1540,Unfurnished,Mid
"OUG, Kuala Lumpur","1,450,000",5,5,2,Semi-detached House (Intermediate),2809,Partly Furnished,Mid
"Sri Petaling, Kuala Lumpur","1,600,000",6,4,4,2-sty Terrace/Link House (Corner),4300,Partly Furnished,Mid
"Segambut, Kuala Lumpur","690,000",4,3,2,Condominium (Intermediate),1298,Unfurnished,Low
"Kuchai Lama, Kuala Lumpur","838,000",5,3,2,2-sty Terrace/Link House (Intermediate),1540,Unfurnished,Low
"Bukit Jalil, Kuala Lumpur","1,730,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),1840,Fully Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,750,000",5,4,2,2.5-sty Terrace/Link House (Intermediate),2160,Partly Furnished,Mid
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","800,000",4,2,4,2-sty Terrace/Link House (Intermediate),1600,Unfurnished,Low
"Bangsar, Kuala Lumpur","1,300,000",3,2,2,1-sty Terrace/Link House (Intermediate),1800,Unfurnished,Mid
"Kepong, Kuala Lumpur","1,050,000",4,3,2,2-sty Terrace/Link House,1540,Partly Furnished,Low
"Ampang, Kuala Lumpur","2,600,000",7,7,2,Semi-detached House (Corner),4500,Partly Furnished,Mid
"Cheras, Kuala Lumpur","835,000",4,2,2,2-sty Terrace/Link House (Intermediate),1540,Unfurnished,Low
"Cheras, Kuala Lumpur","800,000",4,4,2,2-sty Terrace/Link House (Intermediate),1540,Partly Furnished,Low
"Bukit Jalil, Kuala Lumpur","1,120,000",6,4,2,3-sty Terrace/Link House,1540,Partly Furnished,Low
"Kepong, Kuala Lumpur","699,000",3,2,2,1-sty Terrace/Link House (EndLot),1540,Partly Furnished,Low
"Taman Melawati, Kuala Lumpur","1,650,000",6,6,3,4-sty Terrace/Link House (Corner),1540,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","14,800,000",12,8,6,Bungalow (Intermediate),6507,Partly Furnished,High
"Bukit Jalil, Kuala Lumpur","530,000",3,2,2,Condominium (Intermediate),1003,Unfurnished,Low
"KLCC, Kuala Lumpur","28,000,000",14,16,10,Bungalow,26000,Partly Furnished,High
"Bukit Jalil, Kuala Lumpur","2,350,000",7,5,2,3-sty Terrace/Link House (EndLot),3542,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,400,000",5,5,2,3-sty Terrace/Link House (Intermediate),1584,Unfurnished,Mid
"Desa ParkCity, Kuala Lumpur","2,500,000",5,6,2,3-sty Terrace/Link House (EndLot),1650,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,050,000",4,4,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","5,000,000",4,3,4,Bungalow (Corner),7700,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","1,990,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Sungai Besi, Kuala Lumpur","3,350,000",5,5,4,Semi-detached House (Corner),4065,Partly Furnished,Mid
"Cheras, Kuala Lumpur","1,430,000",5,5,4,3-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,980,000",4,4,3,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","3,600,000",4,4,4,3.5-sty Terrace/Link House,2000,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","4,800,000",4,3,2,Bungalow,8350,Unfurnished,High
"Desa ParkCity, Kuala Lumpur","1,850,000",4,3,3,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,950,000",6,5,3,Semi-detached House,2625,Partly Furnished,Mid
"Cheras, Kuala Lumpur","600,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Mont Kiara, Kuala Lumpur","2,700,000",5,5,3,Semi-detached House,3220,Fully Furnished,Mid
"Bandar Menjalara, Kuala Lumpur","1,680,000",6,4,2,2-sty Terrace/Link House (Corner),3570,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,600,000",6,5,2,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"ADIVA Desa ParkCity, Kuala Lumpur","2,400,000",5,5,2,3-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,600,000",6,4,2,2.5-sty Terrace/Link House,1650,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,600,000",5,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,380,000",5,5,2,3-sty Terrace/Link House,1650,Fully Furnished,Mid
"Kepong, Kuala Lumpur","950,000",4,3,2,2-sty Terrace/Link House,1650,Partly Furnished,Low
"Kepong, Kuala Lumpur","1,300,000",6,5,2,3-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Ampang, Kuala Lumpur","3,600,000",5,4,6,Bungalow (Intermediate),9670,Unfurnished,Mid
"Desa ParkCity, Kuala Lumpur","2,388,000",5,5,3,3-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,480,000",4,3,2,2-sty Terrace/Link House (Intermediate),1800,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,280,000",5,4,2,3-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","2,200,000",5,3,4,2-sty Terrace/Link House (EndLot),2550,Fully Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,650,000",6,5,2,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","5,499,999",5,6,2,Bungalow (Intermediate),9300,Partly Furnished,High
"Bukit Tunku (Kenny Hills), Kuala Lumpur","5,000,000",6,6,4,Semi-detached House,4200,Partly Furnished,High
"Bangsar, Kuala Lumpur","5,550,000",5,5,4,Bungalow,4650,Partly Furnished,High
"Kepong, Kuala Lumpur","480,000",3,3,1,2.5-sty Terrace/Link House (Intermediate),592,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","5,200,000",7,7,2,3.5-sty Terrace/Link House,2805,Partly Furnished,High
"Bandar Menjalara, Kuala Lumpur","3,100,000",6,5,2,Semi-detached House,4050,Partly Furnished,Mid
"KLCC, Kuala Lumpur","2,280,000",2,1,1,Serviced Residence (Intermediate),1087,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","3,880,000",5,4,3,Bungalow (Intermediate),6000,Unfurnished,High
"Kepong, Kuala Lumpur","1,300,000",5,6,5,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","3,700,000",5,4,2,Bungalow (Corner),5700,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","5,400,000",5,4,6,Bungalow (Corner),7300,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","5,200,000",5,4,4,Bungalow,8150,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","5,300,000",5,4,2,Bungalow (Corner),8200,Partly Furnished,High
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","620,000",3,2,2,Serviced Residence (Corner),1030,Partly Furnished,Low
"Bukit Bintang, Kuala Lumpur","680,000",2,2,1,Serviced Residence (Corner),708,Fully Furnished,Low
"Wangsa Maju, Kuala Lumpur","970,000",5,3,2,Condominium (Corner),1909,Partly Furnished,Low
"Wangsa Maju, Kuala Lumpur","770,000",3,2,2,Condominium (Intermediate),1259,Unfurnished,Low
"Bukit Jalil, Kuala Lumpur","890,000",4,3,2,2-sty Terrace/Link House,1650,Partly Furnished,Low
"Wangsa Maju, Kuala Lumpur","1,050,000",4,4,2,Condominium (Corner),1759,Unfurnished,Low
"Sunway SPK, Kuala Lumpur","1,690,000",6,4,4,2.5-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Mid
"Kepong, Kuala Lumpur","990,000",3,2,4,1-sty Terrace/Link House (Corner),4035,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","1,890,000",3,3,3,2-sty Terrace/Link House,1650,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,300,000",6,6,3,2.5-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,990,000",4,4,2,2-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,450,000",5,4,2,Townhouse (Intermediate),2262,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","1,790,000",4,3,2,2-sty Terrace/Link House (Intermediate),1900,Fully Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,880,000",4,4,2,2-sty Terrace/Link House (Intermediate),1500,Partly Furnished,Mid
"Damansara Heights, Kuala Lumpur","6,200,000",5,5,2,Bungalow,4277,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","4,200,000",5,5,2,Bungalow,5300,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","5,100,000",5,4,2,Bungalow (Corner),7800,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","4,800,000",5,4,2,Bungalow (Intermediate),6000,Partly Furnished,High
"Desa ParkCity, Kuala Lumpur","3,280,000",5,4,2,Bungalow (Intermediate),3200,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,600,000",6,6,2,Semi-detached House,1920,Fully Furnished,Mid
"Kepong, Kuala Lumpur","520,000",3,2,2,1-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Ampang, Kuala Lumpur","1,280,000",7,7,2,3-sty Terrace/Link House (Intermediate),1650,Unfurnished,Mid
"Cheras, Kuala Lumpur","850,000",5,2,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Cheras, Kuala Lumpur","918,000",8,3,2,2-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Sunway SPK, Kuala Lumpur","1,680,000",6,5,2,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,800,000",6,5,2,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,850,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","1,830,000",4,3,2,2-sty Terrace/Link House,1650,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,600,000",5,4,3,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,300,000",5,5,4,3-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Bukit Bintang, Kuala Lumpur","1,200,000",2,2,2,Serviced Residence (Corner),1070,Fully Furnished,Mid
"Setapak, Kuala Lumpur","425,000",4,2,2,Serviced Residence (Intermediate),918,Unfurnished,Low
"Bukit Jalil, Kuala Lumpur","1,120,000",6,5,4,3-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Low
"Cheras, Kuala Lumpur","795,000",4,4,4,2-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Low
"Jalan Ipoh, Kuala Lumpur","700,000",4,3,2,Townhouse (Intermediate),1200,Partly Furnished,Low
"Kepong, Kuala Lumpur","950,000",5,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","1,580,000",5,4,4,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Jalan Ipoh, Kuala Lumpur","710,000",3,3,2,Townhouse (Intermediate),1080,Partly Furnished,Low
"Wangsa Maju, Kuala Lumpur","390,000",3,2,1,2.5-sty Terrace/Link House (Intermediate),800,Unfurnished,Low
"Kepong, Kuala Lumpur","680,000",4,4,2,1.5-sty Terrace/Link House,1650,Unfurnished,Low
"Bandar Menjalara, Kuala Lumpur","1,600,000",5,5,2,2.5-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,800,000",5,5,2,2.5-sty Terrace/Link House,1650,Fully Furnished,Mid
"Bukit Jalil, Kuala Lumpur","2,550,000",5,4,2,3-sty Terrace/Link House (Corner),3928,Partly Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,800,000",5,5,2,2-sty Terrace/Link House,1650,Fully Furnished,Mid
"Sunway SPK, Kuala Lumpur","1,800,000",5,4,2,2.5-sty Terrace/Link House,1650,Fully Furnished,Mid
"Mont Kiara, Kuala Lumpur","16,000,000",5,6,15,Bungalow (Corner),17800,Partly Furnished,High
"Pandan Indah, Kuala Lumpur","659,000",4,3,2,2-sty Terrace/Link House (Intermediate),1400,Partly Furnished,Low
"Pantai, Kuala Lumpur","5,500,000",5,4,3,Bungalow (Intermediate),9300,Partly Furnished,High
"Seputeh, Kuala Lumpur","3,080,000",5,5,2,Bungalow (Intermediate),5000,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,200,000",6,6,2,Semi-detached House,3650,Partly Furnished,Mid
"Bukit Jalil, Kuala Lumpur","1,330,000",6,5,2,3-sty Terrace/Link House (EndLot),1650,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,300,000",6,6,2,Semi-detached House (Intermediate),3700,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,450,000",5,5,3,Bungalow (Intermediate),5200,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,000,000",6,5,4,Semi-detached House (Intermediate),4500,Fully Furnished,Mid
"Sri Hartamas, Kuala Lumpur","3,600,000",6,6,2,3.5-sty Terrace/Link House (Intermediate),1920,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","2,750,000",6,5,2,Semi-detached House (Corner),4200,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","2,950,000",6,5,4,Semi-detached House (Intermediate),4000,Fully Furnished,Mid
"Sri Hartamas, Kuala Lumpur","2,980,000",6,6,2,Semi-detached House (Intermediate),3800,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","4,500,000",6,6,2,Semi-detached House (Intermediate),4000,Partly Furnished,High
"Sri Hartamas, Kuala Lumpur","3,100,000",6,6,2,Semi-detached House (Intermediate),3800,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","2,500,000",6,6,2,Semi-detached House (Intermediate),4002,Partly Furnished,Mid
"Segambut, Kuala Lumpur","1,950,000",6,6,5,3-sty Terrace/Link House (Intermediate),2239,Unfurnished,Mid
"Sri Hartamas, Kuala Lumpur","16,000,000",5,6,15,Bungalow (Corner),17800,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","2,500,000",6,6,2,Semi-detached House (Intermediate),4300,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","3,600,000",5,5,2,Semi-detached House (Intermediate),2400,Partly Furnished,Mid
"Mont Kiara, Kuala Lumpur","4,450,000",6,5,2,Semi-detached House (Intermediate),4000,Partly Furnished,High
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","665,000",3,2,2,1-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Taman Desa, Kuala Lumpur","4,200,000",5,5,4,Bungalow (Intermediate),1615,Unfurnished,High
"Bangsar, Kuala Lumpur","1,250,000",6,2,2,1-sty Terrace/Link House (EndLot),1760,Partly Furnished,Mid
"Taman Melawati, Kuala Lumpur","2,800,000",5,6,4,Bungalow (Corner),5628,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","1,800,000",4,3,2,2-sty Terrace/Link House,1650,Partly Furnished,Mid
"Cheras, Kuala Lumpur","800,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Bangsar, Kuala Lumpur","1,650,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Unfurnished,Mid
"Taman Melawati, Kuala Lumpur","2,380,000",5,5,2,Bungalow (Intermediate),4500,Unfurnished,Mid
"Keramat, Kuala Lumpur","710,000",4,4,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Kepong, Kuala Lumpur","490,000",3,2,2,1-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Ampang, Kuala Lumpur","7,800,000",6,6,8,Bungalow,16500,Unfurnished,High
"Kepong, Kuala Lumpur","1,149,999",7,5,4,3-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Cheras, Kuala Lumpur","630,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Fully Furnished,Low
"Desa ParkCity, Kuala Lumpur","2,490,000",6,2,2,3-sty Terrace/Link House (EndLot),2900,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","660,000",4,4,2,2-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Kepong, Kuala Lumpur","1,380,000",6,5,4,3-sty Terrace/Link House (Intermediate),1650,Unfurnished,Mid
"Bandar Menjalara, Kuala Lumpur","838,000",4,3,3,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Kepong, Kuala Lumpur","1,150,000",4,3,4,2-sty Terrace/Link House (Intermediate),1650,Unfurnished,Low
"Sri Petaling, Kuala Lumpur","795,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Unfurnished,Low
"Bangsar, Kuala Lumpur","6,750,000",6,6,3,Bungalow (Intermediate),7793,Partly Furnished,High
"Kepong, Kuala Lumpur","1,050,000",5,3,2,2-sty Terrace/Link House (EndLot),1650,Partly Furnished,Low
"Jalan Ipoh, Kuala Lumpur","1,080,000",5,3,2,2-sty Terrace/Link House,1650,Partly Furnished,Low
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","400,000",3,2,2,Condominium (Corner),1175,Partly Furnished,Low
"Bangsar, Kuala Lumpur","5,800,000",6,5,2,Bungalow,6566.63,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,630,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Bukit Tunku (Kenny Hills), Kuala Lumpur","6,900,000",6,5,2,Bungalow,12000,Partly Furnished,High
"Bukit Tunku (Kenny Hills), Kuala Lumpur","14,800,000",6,6,4,Bungalow,8611,Fully Furnished,High
"Cheras, Kuala Lumpur","820,000",4,4,3,2-sty Terrace/Link House (Intermediate),1760,Unfurnished,Low
"Bukit Tunku (Kenny Hills), Kuala Lumpur","17,000,000",6,8,6,Bungalow,16500,Partly Furnished,High
"Kepong, Kuala Lumpur","850,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Taman Tun Dr Ismail, Kuala Lumpur","1,150,000",3,2,2,1-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","7,200,000",6,5,2,Bungalow (Corner),8600,Partly Furnished,High
"Damansara Heights, Kuala Lumpur","4,800,000",6,5,4,Bungalow (Intermediate),4200,Partly Furnished,High
"Mont Kiara, Kuala Lumpur","14,800,000",6,6,4,Bungalow,8611,Fully Furnished,High
"Seputeh, Kuala Lumpur","5,450,000",6,6,2,Bungalow,5440,Partly Furnished,High
"Bandar Menjalara, Kuala Lumpur","888,000",5,3,2,2-sty Terrace/Link House,1760,Unfurnished,Low
"Desa ParkCity, Kuala Lumpur","2,400,000",6,5,5,3-sty Terrace/Link House,1760,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","1,250,000",3,2,2,1-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,280,000",5,6,2,3-sty Terrace/Link House (Intermediate),1760,Fully Furnished,Mid
"Damansara Heights, Kuala Lumpur","2,100,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,400,000",6,5,2,3-sty Terrace/Link House,1760,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,400,000",6,6,2,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,300,000",5,5,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","14,800,000",6,6,4,Bungalow,8611,Fully Furnished,High
"Wangsa Maju, Kuala Lumpur","1,180,000",4,4,3,Condominium (Corner),1967,Unfurnished,Mid
"Wangsa Maju, Kuala Lumpur","1,690,000",4,4,4,Condominium (Corner),2700,Unfurnished,Mid
"Desa ParkCity, Kuala Lumpur","2,280,000",6,6,2,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Sungai Besi, Kuala Lumpur","450,000",2,2,2,Condominium (Intermediate),855,Unfurnished,Low
"Kepong, Kuala Lumpur","1,580,000",4,3,2,2-sty Terrace/Link House,1650,Fully Furnished,Mid
"Kepong, Kuala Lumpur","910,000",4,3,2,2-sty Terrace/Link House (Intermediate),1650,Partly Furnished,Low
"Setapak, Kuala Lumpur","480,000",4,2,2,Serviced Residence,17,Unfurnished,Low
"Segambut, Kuala Lumpur","1,630,000",5,5,2,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Taman Tun Dr Ismail, Kuala Lumpur","5,350,000",6,5,4,Bungalow,7200,Partly Furnished,High
"Taman Tun Dr Ismail, Kuala Lumpur","1,700,000",4,3,3,2-sty Terrace/Link House,1760,Partly Furnished,Mid
"KL City, Kuala Lumpur","730,000",1,1,1,Serviced Residence (Intermediate),744,Fully Furnished,Low
"Damansara Heights, Kuala Lumpur","2,150,000",4,3,3,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Setapak, Kuala Lumpur","1,000,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Kepong, Kuala Lumpur","920,000",4,3,2,2-sty Terrace/Link House (EndLot),1540,Partly Furnished,Low
"Damansara Heights, Kuala Lumpur","4,500,000",5,4,2,Semi-detached House (Intermediate),3600,Partly Furnished,High
"Ampang, Kuala Lumpur","4,900,000",6,7,6,Bungalow,"10,000",Partly Furnished,High
"Seputeh, Kuala Lumpur","3,600,000",5,5,2,Semi-detached House,3400,Partly Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,400,000",7,6,4,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Ampang, Kuala Lumpur","2,772,100",6,7,3,Bungalow (Intermediate),4284,Partly Furnished,Mid
"Ampang, Kuala Lumpur","1,900,000",6,6,3,Bungalow (Intermediate),3821,Partly Furnished,Mid
"Taman Desa, Kuala Lumpur","2,380,000",6,4,2,Semi-detached House (EndLot),3000,Partly Furnished,Mid
"Seputeh, Kuala Lumpur","3,100,000",5,4,2,Semi-detached House (Intermediate),3200,Partly Furnished,Mid
"Seputeh, Kuala Lumpur","3,150,000",5,4,2,Semi-detached House (Intermediate),3200,Partly Furnished,Mid
"Ampang, Kuala Lumpur","5,800,000",6,6,2,Bungalow,8500,Partly Furnished,High
"Bangsar, Kuala Lumpur","7,600,000",6,6,2,Bungalow,7750,Fully Furnished,High
"Bangsar, Kuala Lumpur","5,800,000",6,6,4,Bungalow,6600,Partly Furnished,High
"Bangsar, Kuala Lumpur","7,000,000",6,6,4,Bungalow (Corner),6846,Partly Furnished,High
"Seputeh, Kuala Lumpur","4,500,000",5,5,2,Semi-detached House (Intermediate),3500,Partly Furnished,High
"Seputeh, Kuala Lumpur","1,350,000",4,3,2,3-sty Terrace/Link House (Intermediate),1600,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","6,800,000",6,6,2,Bungalow,8950,Partly Furnished,High
"Bangsar, Kuala Lumpur","4,700,000",6,4,2,Bungalow (Intermediate),5920,Partly Furnished,High
"Bangsar, Kuala Lumpur","4,950,000",6,5,4,Bungalow,6800,Partly Furnished,High
"Bangsar, Kuala Lumpur","5,200,000",6,5,2,Bungalow (Intermediate),6700,Fully Furnished,High
"Seputeh, Kuala Lumpur","1,250,000",5,4,3,3-sty Terrace/Link House (Intermediate),1600,Partly Furnished,Mid
"Bangsar, Kuala Lumpur","7,500,000",6,7,2,Bungalow,8000,Fully Furnished,High
"Bangsar, Kuala Lumpur","4,180,000",6,5,4,Bungalow,5242,Partly Furnished,High
"Sri Petaling, Kuala Lumpur","1,350,000",6,4,4,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Sri Petaling, Kuala Lumpur","1,198,000",5,3,3,2.5-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Dutamas, Kuala Lumpur","1,980,000",5,5,1,Semi-detached House,3800,Partly Furnished,Mid
"Sungai Besi, Kuala Lumpur","1,350,000",6,5,2,3-sty Terrace/Link House,1760,Fully Furnished,Mid
"Seputeh, Kuala Lumpur","4,000,000",6,6,2,Semi-detached House (Intermediate),3200,Partly Furnished,High
"Bangsar, Kuala Lumpur","9,000,000",6,6,6,Bungalow,13000,Partly Furnished,High
"Bangsar, Kuala Lumpur","5,000,000",6,5,6,Bungalow,6700,Partly Furnished,High
"Kepong, Kuala Lumpur","788,000",4,3,3,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Low
"Desa ParkCity, Kuala Lumpur","2,300,000",5,4,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Kepong, Kuala Lumpur","1,630,000",6,6,4,3-sty Terrace/Link House (Intermediate),1760,Fully Furnished,Mid
"Desa ParkCity, Kuala Lumpur","2,600,000",6,6,2,3-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Sri Hartamas, Kuala Lumpur","1,650,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Partly Furnished,Mid
"Bandar Menjalara, Kuala Lumpur","950,000",4,3,2,2-sty Terrace/Link House (Intermediate),1760,Fully Furnished,Low
"Bandar Menjalara, Kuala Lumpur","1,080,000",5,3,2,2-sty Terrace/Link House,1760,Fully Furnished,Low
